Row,Name,Neighborhood,Year,Value
6442,Fine Particles,502.0,2012,9.8
6446,Nitrogen Dioxide,209.0,2012,15.0
6450,Nitrogen Dioxide,409.0,2012,14.3
6452,Nitrogen Dioxide,101.0,2012,14.8
6453,Nitrogen Dioxide,503.0,2012,11.8
6454,Nitrogen Dioxide,204.0,2012,16.6
6455,Nitrogen Dioxide,104.0,2012,16.1
6458,Nitrogen Dioxide,406.0,2012,16.6
7189,Fine Particles,209.0,2013,9.8
7190,Fine Particles,409.0,2013,9.8
7191,Fine Particles,410.0,2013,9.5
7192,Fine Particles,211.0,2013,12.2
7193,Fine Particles,304.0,2013,11.4
7194,Fine Particles,104.0,2013,10.3
7195,Fine Particles,308.0,2013,12.0
7197,Fine Particles,301.0,2013,10.4
7198,Fine Particles,201.0,2013,11.5
7203,Nitrogen Dioxide,407.0,2013,16.6
7205,Fine Particles,309.0,2013,11.5
7207,Nitrogen Dioxide,209.0,2013,14.0
7208,Nitrogen Dioxide,204.0,2013,16.6
7209,Fine Particles,302.0,2013,10.8
7210,Fine Particles,102.0,2013,10.2
7211,Fine Particles,202.0,2013,11.0
7218,Nitrogen Dioxide,302.0,2013,21.5
7220,Fine Particles,105.0,2013,10.9
7241,Ozone,202.0,2013,28.0
7247,Ozone,310.0,2013,24.3
7250,Nitrogen Dioxide,405.0,2013,16.9
7251,Ozone,305.0,2013,26.3
7252,Ozone,103.0,2013,30.8
7261,Fine Particles,303.0,2013,10.5
7264,Fine Particles,310.0,2013,12.2
7272,Ozone,208.0,2013,33.7
7276,Nitrogen Dioxide,310.0,2013,27.9
7277,Nitrogen Dioxide,101.0,2013,14.2
7279,Nitrogen Dioxide,202.0,2013,20.0
7280,Nitrogen Dioxide,102.0,2013,14.3
7282,Fine Particles,501.0,2013,9.6
7283,Fine Particles,306.0,2013,13.4
7284,Nitrogen Dioxide,501.0,2013,15.0
7285,Nitrogen Dioxide,303.0,2013,20.7
7286,Nitrogen Dioxide,103.0,2013,16.0
7287,Ozone,210.0,2013,33.9
7288,Ozone,209.0,2013,31.4
7291,Ozone,101.0,2013,30.4
